BARRIO;CANTIDAD;POBLACION;PUNTAJE
PALERMO;7785;226534;34.36570227868664
BALVANERA;5952;138926;42.842952363128575
FLORES;4842;164310;29.4686872375388
RECOLETA;4397;157932;27.841096167971024
CABALLITO;4046;176076;22.978713737249826
ALMAGRO;3590;131699;27.259128770909424
VILLA LUGANO;3295;126374;26.07340117429218
BELGRANO;3030;126267;23.996768751930432
BARRACAS;2864;89452;32.017171220319284
CONSTITUCION;2577;44107;58.42610016550661
VILLA CRESPO;2396;81959;29.23412925975183
MATADEROS;2255;64436;34.99596498851574
NUEVA POMPEYA;2186;42695;51.20037475114182
SAN NICOLAS;2133;29273;72.86578075359547
VILLA SOLDATI;1982;46779;42.36943927830864
PARQUE CHACABUCO;1925;56281;34.20337236367513
RETIRO;1902;65413;29.07678901747359
VILLA URQUIZA;1877;91563;20.49954676015421
MONSERRAT;1655;39914;41.464147918023755
SAN CRISTOBAL;1627;48611;33.46979078809323
SAAVEDRA;1626;50295;32.32925738144945
PARQUE AVELLANEDA;1530;53229;28.743729921659245
VILLA DEVOTO;1472;66521;22.128350445723907
PARQUE PATRICIOS;1461;40985;35.64718799560815
BOEDO;1429;47306;30.20758466156513
NUÃ‘EZ;1424;51949;27.41149974012974
LINIERS;1418;44132;32.13088008701169
BOCA;1284;45113;28.461862434331568
COLEGIALES;1216;52551;23.13942646191319
CHACARITA;1190;27761;42.86589099816289
FLORESTA;1149;37575;30.57884231536926
VILLA DEL PARQUE;972;55273;17.58543954552856
SAN TELMO;951;20453;46.496846428396815
VILLA PUEYRREDON;806;39654;20.32581832854189
VELEZ SARSFIELD;802;35081;22.861377953878165
MONTE CASTRO;793;33623;23.585045950688517
VILLA SANTA RITA;745;33325;22.355588897224305
VILLA LURO;733;32502;22.55245831025783
VILLA GRAL. MITRE;731;34713;21.058393109209806
PATERNAL;457;19717;23.177968250748087
VILLA ORTUZAR;451;21736;20.748987854251013
VILLA RIACHUELO;436;14084;30.95711445612042
COGHLAN;398;18604;21.39324876370673
VILLA REAL;381;13419;28.392577688352336
VERSALLES;367;13822;26.55187382433801
PARQUE CHAS;325;17489;18.58310938304077
AGRONOMIA;296;13912;21.27659574468085
PUERTO MADERO;229;6726;34.04698186143324
NUEVA POMPEYA;2;42695;0.04684389272748565
