BARRIO;CANTIDAD_DELITOS;PUNTAJE_x;POBLACION;CANTIDAD_RECLAMOS;PUNTAJE_y;pond_0;pond_1;pond_2;pond_3;pond_4;pond_5;pond_6;pond_7;pond_8;pond_9;pond_10
PALERMO;7785;34.36570227868664;226534;1860;0.8210688020341318;0.09923480807760837;0.09324377975625178;0.08725275143489519;0.08126172311353859;0.07527069479218199;0.06927966647082538;0.06328863814946878;0.05729760982811218;0.051306581506755586;0.04531555318539898;0.03932452486404239
FLORES;4842;29.4686872375388;164310;1192;0.7254579757774938;0.08767923323392479;0.08228339907834772;0.07688756492277064;0.07149173076719358;0.06609589661161648;0.06070006245603941;0.05530422830046233;0.04990839414488526;0.04451255998930817;0.039116725833731096;0.03372089167815402
RECOLETA;4397;27.841096167971024;157932;869;0.5502368107793227;0.06650191089912047;0.06303756443307512;0.059573217967029767;0.0561088715009844;0.052644525034939056;0.0491801785688937;0.045715832102848346;0.04225148563680299;0.03878713917075763;0.03532279270471227;0.031858446238666925
CABALLITO;4046;22.978713737249823;176076;1420;0.8064699334378337;0.0974703811261583;0.09035278731349095;0.0832351935008236;0.07611759968815626;0.06900000587548892;0.06188241206282157;0.05476481825015423;0.0476472244374869;0.04052963062481955;0.033412036812152206;0.026294442999484864
ALMAGRO;3590;27.259128770909424;131699;883;0.6704682647552372;0.08103314778284232;0.07604908335023945;0.07106501891763657;0.0660809544850337;0.061096890052430845;0.05611282561982797;0.051128761187225105;0.04614469675462223;0.04116063232201936;0.03617656788941649;0.03119250345681362
BELGRANO;3030;23.996768751930432;126267;1106;0.8759216580737644;0.10586435316337496;0.09802385774312744;0.09018336232287995;0.08234286690263244;0.07450237148238492;0.06666187606213743;0.05882138064188994;0.05098088522164243;0.04314038980139492;0.03529989438114742;0.027459398960899915
BARRACAS;2864;32.017171220319284;89452;391;0.4371059339086884;0.05282885350600537;0.05120967924595516;0.04959050498590495;0.04797133072585473;0.04635215646580452;0.0447329822057543;0.043113807945704095;0.041494633685653884;0.039875459425603665;0.03825628516555345;0.036637110905503235
NUÃ‘EZ;1424;27.41149974012974;51949;512;0.9855820131282604;0.11911796146099352;0.11034285140485069;0.1015677413487078;0.09279263129256492;0.08401752123642206;0.0752424111802792;0.06646730112413635;0.057692191067993476;0.0489170810118506;0.04014197095570774;0.03136686089956488
PUERTO MADERO;229;34.04698186143324;6726;41;0.6095747844186739;0.07367352966143025;0.07020215814184097;0.0667307866222517;0.0632594151026624;0.059788043583073144;0.056316672063483876;0.052845300543894615;0.04937392902430535;0.045902557504716064;0.042431185985126796;0.03895981446553753
